Business Niche/Category,Business Name,Phone Number,Secondary Phone,Address,City,State,Zip Code,Operating Hours,Review Count,Star Rating,Google Business Link,Website (if available),Facebook Profile,Instagram Profile,Data Source,Date Added,Lead Score,Custom Sales Pitch Notes,Additional Notes,Call Status,Follow-up Date
auto detailing,Royal Detailing LA,(424) 542-2910,,801 S Olive St,Los Angeles,CA,90014,"Wednesday, 7 AM to 4 PM, Copy open hours",74,4.9,https://www.google.com/maps/place/Royal+Detailing+LA/data=!4m7!3m6!1s0x80c2b9c51ee3b7d9:0x5d5f1d6d19e1e2b5!8m2!3d34.0452341!4d-118.2574018!16s%2Fg%2F11n0p5cfgl!19sChIJ2bfjHsW5woARteLhGW0dX10?authuser=0&hl=en&rclk=1,https://royaldetailinglallc.as.me/,,,Google Maps,2026-02-26,10,"Hi Royal Detailing LA, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 74 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,Monkey's Auto Spa,(213) 440-2897,,515 W Pico Blvd,Los Angeles,CA,90015,"Wednesday, 9 AM to 6 PM, Copy open hours",64,4.7,https://www.google.com/maps/place/Monkey%27s+Auto+Spa/data=!4m7!3m6!1s0x80c2c7e17dafc887:0xa8fbd75d5b7b7b85!8m2!3d34.039875!4d-118.2659783!16s%2Fg%2F11sj61rh03!19sChIJh8ivfeHHwoARhXt7W13X-6g?authuser=0&hl=en&rclk=1,http://monkeyautospa.com/,,,Google Maps,2026-02-26,10,"Hi Monkey's Auto Spa, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 64 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,CarWax LA Auto Detailing,(213) 640-7994,,2890 Leeward Ave,Los Angeles,CA,90005,"Wednesday, 8 AM to 8 PM, Copy open hours",83,5.0,https://www.google.com/maps/place/CarWax+LA+Auto+Detailing/data=!4m7!3m6!1s0x80c2c785008c34df:0x8d58d20fe4ba6bab!8m2!3d34.0582975!4d-118.286708!16s%2Fg%2F11pcm9bpyn!19sChIJ3zSMAIXHwoARq2u65A_SWI0?authuser=0&hl=en&rclk=1,http://detailingsocal.com/,,,Google Maps,2026-02-26,10,"Hi CarWax LA Auto Detailing, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 83 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,A1 Supreme Details | Paint correction and Ceramic Coating Specialist,(310) 895-3008,,5011 Washington Blvd,Los Angeles,CA,90016,"Wednesday, 9 AM to 5 PM, Copy open hours",54,5.0,https://www.google.com/maps/place/A1+Supreme+Details+%7C+Paint+correction+and+Ceramic+Coating+Specialist/data=!4m7!3m6!1s0x80c2b9a02077c9cf:0x39064f15c34d84ee!8m2!3d34.0409575!4d-118.3489!16s%2Fg%2F11ssrg9d2l!19sChIJz8l3IKC5woAR7oRNwxVPBjk?authuser=0&hl=en&rclk=1,https://www.a1supremedetail.com/,,,Google Maps,2026-02-26,10,"Hi A1 Supreme Details | Paint correction and Ceramic Coating Specialist, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 54 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,JP Mobile Auto Detailing,NOT FOUND,,300 W Cesar Estrada Chavez Ave,Los Angeles,CA,90012,"Wednesday, 6 AM to 6:30 PM, Copy open hours",70,5.0,https://www.google.com/maps/place/JP+Mobile+Auto+Detailing/data=!4m7!3m6!1s0x80c2c77079df59ef:0xc8f2543c34c7834d!8m2!3d34.05796!4d-118.24036!16s%2Fg%2F11lv7y93td!19sChIJ71nfeXDHwoARTYPHNDxU8sg?authuser=0&hl=en&rclk=1,https://jpautodetail.square.site/,,,Google Maps,2026-02-26,8,"Hi JP Mobile Auto Detailing, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 70 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",Phone Number Needed - Manual Research Required,,
auto detailing,Auto Detail Los Angeles,(626) 863-2534,,,Los Angeles,CA,,"Wednesday, 7 AM to 7 PM, Copy open hours",52,4.8,https://www.google.com/maps/place/Auto+Detail+Los+Angeles/data=!4m7!3m6!1s0x80c2cffe82372e53:0xd4cb5d9e05eb2bbc!8m2!3d34.0513721!4d-118.1453386!16s%2Fg%2F11fn0ztwsc!19sChIJUy43gv7PwoARvCvrBZ5dy9Q?authuser=0&hl=en&rclk=1,https://autodetaillosangeles.com/,,,Google Maps,2026-02-26,8,"Hi Auto Detail Los Angeles, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 52 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
car detailing,California Golden Detailers,(424) 272-7235,,2215 20th St,Santa Monica,CA,90405,"Wednesday, 7 AM to 9 PM, Copy open hours",82,4.8,https://www.google.com/maps/place/California+Golden+Detailers/data=!4m7!3m6!1s0xa362598c29ff696f:0xb9cc204abf681ede!8m2!3d34.0181889!4d-118.4681616!16s%2Fg%2F11rsspbw8q!19sChIJb2n_KYxZYqMR3h5ov0ogzLk?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-02-26,13,"Hi California Golden Detailers, I help car detailing shops in Los Angeles fill their calendar with repeat customers and new bookings through better online visibility. Would you have 10 minutes to chat about how we could help you get more cars in?",,,
car detailing,Mena Detail,(323) 301-2923,,6175 Santa Monica Blvd,Los Angeles,CA,90038,"Wednesday, 9 AM to 5 PM, Copy open hours",68,4.6,https://www.google.com/maps/place/Mena+Detail/data=!4m7!3m6!1s0x80c2bf3574859995:0x44a1d02c9ae55d2f!8m2!3d34.091106!4d-118.3241278!16s%2Fg%2F11c54mvw3s!19sChIJlZmFdDW_woARL13lmizQoUQ?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-02-26,13,"Hi Mena Detail, I help car detailing shops in Los Angeles fill their calendar with repeat customers and new bookings through better online visibility. Would you have 10 minutes to chat about how we could help you get more cars in?",,,
car detailing,Car Detailing in Los Angeles - Magic Mike's Detail LLC,(424) 393-7346,,10135 S Burl Ave,Inglewood,CA,90304,"Wednesday, 7 AM to 5 PM, Copy open hours",50,5.0,https://www.google.com/maps/place/Car+Detailing+in+Los+Angeles+-+Magic+Mike%27s+Detail+LLC/data=!4m7!3m6!1s0x89c04af9a5a9c773:0xe9a03f02657119d0!8m2!3d33.9435618!4d-118.3625638!16s%2Fg%2F11rjljdl5f!19sChIJc8eppflKwIkR0BlxZQI_oOk?authuser=0&hl=en&rclk=1,http://www.magicmikesdetail.com/,,,Google Maps,2026-02-26,12,"Hi Car Detailing in Los Angeles - Magic Mike's Detail LLC, I help car detailing shops in Los Angeles fill their calendar with repeat customers and new bookings through better online visibility. Would you have 10 minutes to chat about how we could help you get more cars in?",,,
car detailing,Winsome Automotive,(714) 587-1923,,1505 S Santa Fe Ave,Los Angeles,CA,90021,"Wednesday, 8 AM to 8 PM, Copy open hours",31,5.0,https://www.google.com/maps/place/Winsome+Automotive/data=!4m7!3m6!1s0x6b733c2ca4d3f26b:0x9672f7b767a849ef!8m2!3d34.0264709!4d-118.2303691!16s%2Fg%2F11l33jc1wk!19sChIJa_LTpCw8c2sR70moZ7f3cpY?authuser=0&hl=en&rclk=1,https://winsomeautomotive.com/,,,Google Maps,2026-02-26,12,"Hi Winsome Automotive, I help car detailing shops in Los Angeles fill their calendar with repeat customers and new bookings through better online visibility. Would you have 10 minutes to chat about how we could help you get more cars in?",,,
car detailing,Naz Mobile Detailing LA,(213) 800-1254,,424 S Ardmore Ave apt 132,Los Angeles,CA,90020,"Wednesday, 6 AM to 8 PM, Copy open hours",76,4.8,https://www.google.com/maps/place/Naz+Mobile+Detailing+LA/data=!4m7!3m6!1s0x576543613980a57:0x3fef39531e778593!8m2!3d34.0664666!4d-118.301333!16s%2Fg%2F11tnht8t_g!19sChIJVwqYEzZUdgURk4V3HlM57z8?authuser=0&hl=en&rclk=1,https://www.nazmobiledetailingla.com/home,,,Google Maps,2026-02-26,10,"Hi Naz Mobile Detailing LA, I help car detailing shops in Los Angeles fill their calendar with repeat customers and new bookings through better online visibility. Would you have 10 minutes to chat about how we could help you get more cars in?",,,
car detailing,Luxury Mobile Detail,(323) 440-6040,,6030 Cadillac Ave Apt 9,Los Angeles,CA,90034,"Wednesday, 7 AM to 6 PM, Copy open hours",87,5.0,https://www.google.com/maps/place/Luxury+Mobile+Detail/data=!4m7!3m6!1s0x80c2b9c732aea381:0xfed3f11194a3d543!8m2!3d34.0374853!4d-118.3756279!16s%2Fg%2F11fp1n1fsg!19sChIJgaOuMse5woARQ9WjlBHx0_4?authuser=0&hl=en&rclk=1,http://luxurymobiledetail.com/,,,Google Maps,2026-02-26,10,"Hi Luxury Mobile Detail, I help car detailing shops in Los Angeles fill their calendar with repeat customers and new bookings through better online visibility. Would you have 10 minutes to chat about how we could help you get more cars in?",,,
mobile car detailing,E.M.M Mobile Car Wash And Detail,(951) 777-0195,,629 S Rowan Ave,Los Angeles,CA,90023,"Wednesday, 8 AM to 8 PM, Copy open hours",17,4.8,https://www.google.com/maps/place/E.M.M+Mobile+Car+Wash+And+Detail/data=!4m7!3m6!1s0x80c2d53bbb1cf8f7:0x9bf4da962bda1642!8m2!3d34.0275907!4d-118.1876871!16s%2Fg%2F11nfbjd_2_!19sChIJ9_gcuzvVwoARQhbaK5ba9Js?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-02-26,17,"Hi E.M.M Mobile Car Wash And Detail, mobile detailing is perfect for online marketing — customers search and book instantly. I help mobile detailers in Los Angeles show up first when local car owners are ready to book. Quick 10-minute call?",,,
mobile car detailing,Rojas Mobile Car Wash,(323) 494-4180,,3427 S Norton Ave #104,Los Angeles,CA,90018,"Wednesday, 7 AM to 7 PM, Copy open hours",19,5.0,https://www.google.com/maps/place/Rojas+Mobile+Car+Wash/data=!4m7!3m6!1s0x80c2b9d5df69f61f:0xe262b27dd6922189!8m2!3d34.0247243!4d-118.3330122!16s%2Fg%2F11t7nkj5y_!19sChIJH_Zp39W5woARiSGS1n2yYuI?authuser=0&hl=en&rclk=1,https://rojasmobiledetail.com/,,,Google Maps,2026-02-26,14,"Hi Rojas Mobile Car Wash, mobile detailing is perfect for online marketing — customers search and book instantly. I help mobile detailers in Los Angeles show up first when local car owners are ready to book. Quick 10-minute call?",,,
mobile car detailing,ECO Mobile Detailing,(323) 371-4273,,Parking Garage,5750 Wilshire Blvd Level P1,CA,90036,"Wednesday, 9 AM to 6 PM, Copy open hours",41,4.8,https://www.google.com/maps/place/ECO+Mobile+Detailing/data=!4m7!3m6!1s0x80c2b96956d07439:0xe9444e41c7c8f57b!8m2!3d34.0611563!4d-118.3547782!16s%2Fg%2F11sw1jfllx!19sChIJOXTQVmm5woARe_XIx0FOROk?authuser=0&hl=en&rclk=1,http://www.ecomobiledetailing.com/,,,Google Maps,2026-02-26,12,"Hi ECO Mobile Detailing, mobile detailing is perfect for online marketing — customers search and book instantly. I help mobile detailers in Los Angeles show up first when local car owners are ready to book. Quick 10-minute call?",,,
mobile car detailing,Ramirez Mobile Detailing 310,(424) 378-9254,,2630 S Corning St,Los Angeles,CA,90034,"Wednesday, 7 AM to 6 PM, Copy open hours",85,5.0,https://www.google.com/maps/place/Ramirez+Mobile+Detailing+310/data=!4m7!3m6!1s0xdb18f99ae623609:0xc00cd9b26e8b2ac9!8m2!3d34.035686!4d-118.3813207!16s%2Fg%2F11pc9t7khz!19sChIJCTZirpmPsQ0RySqLbrLZDMA?authuser=0&hl=en&rclk=1,https://www.ramirezdetailing310.com/,,,Google Maps,2026-02-26,10,"Hi Ramirez Mobile Detailing 310, mobile detailing is perfect for online marketing — customers search and book instantly. I help mobile detailers in Los Angeles show up first when local car owners are ready to book. Quick 10-minute call?",,,
mobile car detailing,Pristine Mobile Car Detailing,(951) 749-9128,,651 N Sepulveda Blvd,Los Angeles,CA,90049,"Wednesday, 7 AM to 7 PM, Copy open hours",54,5.0,https://www.google.com/maps/place/Pristine+Mobile+Car+Detailing/data=!4m7!3m6!1s0x80c2bdceb9f248ed:0xe74095ed22111867!8m2!3d34.0772405!4d-118.4692154!16s%2Fg%2F11wj5xywj8!19sChIJ7Ujyuc69woARZxgRIu2VQOc?authuser=0&hl=en&rclk=1,https://losangeles.cardetailingpristine.com/,,,Google Maps,2026-02-26,10,"Hi Pristine Mobile Car Detailing, mobile detailing is perfect for online marketing — customers search and book instantly. I help mobile detailers in Los Angeles show up first when local car owners are ready to book. Quick 10-minute call?",,,
mobile car detailing,Cali luxury detailing (Mobile Service),(323) 922-5654,,7602 S Hobart Blvd,Los Angeles,CA,90047,"Wednesday, 8 AM to 7:30 PM, Copy open hours",57,5.0,https://www.google.com/maps/place/Cali+luxury+detailing+%28Mobile+Service%29/data=!4m7!3m6!1s0x80c2b71b78fe28dd:0x86fbf315be10beaa!8m2!3d33.970762!4d-118.3075869!16s%2Fg%2F11frkrqz9r!19sChIJ3Sj-eBu3woARqr4QvhXz-4Y?authuser=0&hl=en&rclk=1,http://cali-detailing.com/,,,Google Maps,2026-02-26,10,"Hi Cali luxury detailing (Mobile Service), mobile detailing is perfect for online marketing — customers search and book instantly. I help mobile detailers in Los Angeles show up first when local car owners are ready to book. Quick 10-minute call?",,,
mobile car detailing,V & D Mobile Car Wash & Detailing,(323) 507-7063,,,Los Angeles,CA,,"Wednesday, 7 AM to 6 PM, Copy open hours",69,4.7,https://www.google.com/maps/place/V+%26+D+Mobile+Car+Wash+%26+Detailing/data=!4m7!3m6!1s0x80c2b97d9c7ed2c3:0x83d88c17a47d43bb!8m2!3d34.030473!4d-118.317634!16s%2Fg%2F11qr1y7fyb!19sChIJw9J-nH25woARu0N9pBeM2IM?authuser=0&hl=en&rclk=1,https://la-detail.com/,,,Google Maps,2026-02-26,8,"Hi V & D Mobile Car Wash & Detailing, mobile detailing is perfect for online marketing — customers search and book instantly. I help mobile detailers in Los Angeles show up first when local car owners are ready to book. Quick 10-minute call?",,,
